ISBN10,title,brand,discount,initial_price,final_price
0385751060,"The Boy in the Striped Pajamas by Boyne, John (2006) Hardcover",John Boyne,2.69,17.99,15.3
0385751893,The Boy In the Striped Pajamas (Movie Tie-in Edition) (Random House Movie Tie-In Books),John Boyne,2.78,9.99,7.21
0385753845,How to Babysit a Grandma,Jean ReaganLee Wildish,8.63,17.99,9.36
039360909X,Norse Mythology,Neil Gaiman,7.56,25.95,18.39
9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,9.46,18.95,9.49
039363552X,The Overstory: A Novel,Richard Powers,12.06,27.95,15.89
0393881555,The Premonition: A Pandemic Story,Michael Lewis,16.25,30.0,13.75
9780393356182,Norse Mythology,Neil Gaiman,5.76,15.95,10.19
0394555287,Trump: The Art of the Deal,Donald J. TrumpTony Schwartz,11.37,28.0,16.63
039335668X,The Overstory: A Novel,Richard Powers,3.35,18.95,15.6
0399180214,Twisted Twenty-Six (Stephanie Plum),Janet Evanovich,2.51,9.99,7.48
039480001X,The Cat in the Hat,Dr. Seuss,4.76,9.99,5.23
0394800133,One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,4.76,9.99,5.23
0545002850,Green Eggs and Ham,Dr.Seuss,1.87,9.99,8.12
0394800184,Are You My Mother ?,P.D. Eastman,4.99,9.99,5.0
0393608646,A Christmas Carol: The Original Manuscript Edition,Charles Dickens,10.96,21.95,10.99
0399240462,Where's Spot?,Eric Hill,3.02,7.99,4.97
9780394800387,Fox in Socks (Beginner Books),Dr. Seuss,5.03,9.99,4.96
0394800761,Happy Birthday to You!,Dr. Seuss,5.8,16.99,11.19
0394800796,How the Grinch Stole Christmas! (Classic Seuss),Dr. Seuss,7.09,16.99,9.9
0399255370,The Day the Crayons Quit,Drew DaywaltOliver Jeffers,8.8,17.99,9.19
0399501487,Lord of the Flies,William Golding,5.01,11.0,5.99
0394861027,It's Not Easy Being a Bunny (Beginner Books(R)),Marilyn Sadler,3.05,9.99,6.94
0399551239,Where the Red Fern Grows,Wilson Rawls,3.3,16.99,13.69
0395510600,Number the Stars,Lois Lowry,5.0,17.99,12.99
0399562486,The Giver of Stars: A Novel,Jojo Moyes,12.01,28.0,15.99
0399562494,The Giver of Stars: A Novel,Jojo Moyes,6.64,17.0,10.36
